id	english	chinese	partOfSpeech	note	level	academic	ceecLevel
2528	arrow	弓箭、箭號	noun		中級		2
2529	artificial	人工的、人造的	adj.		中級		4
2530	artistic	藝術的、有藝術天賦的	adj.		中級		4
2531	ascend	上升、登高	verb		中級		6
2532	ash	灰燼	noun		中級		3
2533	ashamed	感到羞愧的	adj.		中級		4
2534	aside	在旁邊	adv.		中級		3
2535	aspect	方面、層面	noun		中級	L2	4
2536	aspirin	阿斯匹靈	noun		中級		4
2537	assassinate	暗殺	verb		中級		6
2538	assemble	集合、聚集；組裝	verb		中級	L10	4
2539	assembly	集會、議會；裝配	noun		中級		4
2540	asset	資產	noun		中級		5
2541	assign	指派、分配	verb		中級	L6	
2542	assist	協助、援助	verb		中級	L2	3
2543	assistance	幫忙、援助	noun		中級	L2	4
2544	associate	副的、非正式的	adj.		中級		4
2545	associate	同事、合夥人	noun		中級		4
2546	associate	聯想、聯繫	verb		中級		4
2547	association	協會、社團、聯盟；關聯、聯想	noun		中級		4
2548	assurance	保證、擔保；自信	noun		中級	L9	4
2549	assure	向...保證、確保	verb		中級	L9	4
2550	astonish	使吃驚	verb		中級		
2551	astronaut	太空人	noun		中級		6
2552	athlete	運動員、擅長運動的人	noun		中級		3
2553	athletic	健壯的、擅長運動的、田徑運動的	adj.		中級		4
2554	atmosphere	大氣、大氣層、空氣；氣氛、氛圍	noun		中級		4
2555	atom	原子	noun		中級		4
2556	atomic	原子的、原子能的	adj.		中級		4
2557	attach	裝上、使依附	verb		中級	L6	
2558	attempt	嘗試、企圖	noun/verb		中級		2
2559	attitude	態度	noun		中級	L4	3
2560	attract	吸引	verb		中級		3
2561	attraction	吸引力；迷戀、愛慕	noun		中級		4
2562	attractive	誘人的、吸引人的	adj.		中級		3
2563	audio	聲音的、錄音的	adj.		中級		4
2564	author	作者	noun		中級	L6	2
2565	authority	權力、職權；官方、當權者	noun		中級	L1	4
2566	autobiography	自傳	noun		中級		4
2567	automatic	自動的	adj.		中級		3
2568	automobile	汽車	noun	= auto	中級		3
2569	auxiliary	助動詞	noun	= aux.	中級		
2570	auxiliary	輔助人員；輔助的	noun/adj.		中級		
2571	avenue	大街；途徑、管道、方法	noun		中級		3
2572	average	平均的；平均數；平均為	adj./noun/verb		中級		2
2573	await	等待	verb		中級		4
2574	awake	醒著；醒來、喚起	adj./verb		中級		3
2575	awaken	醒來、喚醒	verb		中級		3
2576	award	獎、獎金、獎品；獎勵、授予	noun/verb		中級		3
2577	awful	很壞的、糟糕的、令人不愉快的	adj.		中級		3
2578	awkward	令人尷尬的；難對付的；笨拙的	adj.		中級		3
2579	ax	斧頭；裁減、解雇	noun	= axe (British English)	中級		
2580	ax	用斧頭劈、砍掉；裁減、撤銷、開除	verb	= axe (British English)	中級		
2581	background	背景	noun		中級		3
2582	bacon	培根	noun		中級		3
2583	bacteria	細菌	noun	bacterium (singular form)	中級		3
2584	baggage	行李	noun		中級		3
2585	baggy	(衣服)寬鬆的、寬大下垂的	adj.		中級		
2586	bait	魚餌、誘餌；下誘餌	noun/verb		中級		3
2587	balance	平衡、均衡；保持平衡	noun/verb		中級		2
2588	bald	禿頭的	adj.		中級		4
2589	ballet	芭蕾舞、芭蕾舞劇	noun		中級		4
2590	bamboo	竹子	noun		中級		3
2591	ban	禁止；禁令	verb/noun		中級		5
2592	Band-Aid	OK繃	noun	= band-aid	中級		
2593	bandage	繃帶；用繃帶包紮	noun/verb		中級		4
2594	bang	重擊、巨響；撞擊、使發出巨響	noun/verb		中級		3
2595	banking	處理銀行帳戶事宜、銀行業	noun		中級		
2596	bankrupt	破產的；使破產；破產者	adj./verb/noun		中級		4
2597	barbershop	理髮店	noun		中級		
2598	bare	赤裸的、無遮蔽的；使赤裸、使暴露	adj./verb		中級		3
2599	barely	僅、剛好、幾乎沒有	adv.		中級		3
2600	bargain	特價品；協議、交易	noun		中級		4
2601	bargain	特價品、協議；討價還價	verb		中級		4
2602	barn	穀倉	noun		中級		
2603	barrel	大桶	noun		中級		3
2604	barrier	屏障、障礙物、隔閡	noun		中級		4
2605	basin	盆、水盆；流域；船塢、內灣	noun		中級		4
2606	battery	電池	noun		中級		4
2607	battle	戰爭、鬥爭；作戰、奮鬥	noun/verb		中級		2
2608	bay	灣、海灣	noun		中級		3
2609	BC	西元前	adv.	= Before Christ	中級		
2610	bead	(有孔的)珠子	noun		中級		3
2611	beak	鳥喙	noun		中級		
2612	beam	光線、光束	noun		中級		3
2613	beam	照射、發光；高興地微笑、眉開眼笑	verb		中級		3
2614	beast	(大型或野生的)動物、野獸；粗暴的人、兇殘的人	noun		中級		3
2615	beauty	美麗、美人、美好的事物	noun		中級		2
2616	bedtime	就寢時間	noun		中級		
2617	beetle	甲蟲	noun		中級		3
2618	beg	乞討、請求	verb		中級		2
2619	beggar	乞丐	noun		中級		4
2620	beggar	使貧窮、使匱乏	verb		中級		4
2621	behavior	行為、舉止	noun	= behaviour (British English)	中級		4
2622	being	生命、生物；存在、生存	noun		中級		2
2623	believable	可信的	adj.		中級		
2624	belly	腹部、肚子	noun		中級		
2625	bend	使彎曲、彎腰；彎曲處、彎道	verb/noun		中級		2
2626	beneath	在...下面	prep.		中級		3
2627	beneficial	有利的、有助的	adj.		中級	L1	5
2628	benefit	利益、好處；對...有幫助、使受惠	noun/verb		中級	L1	3
2629	berry	莓果	noun		中級		3
2630	bet	賭注；打賭、賭博	noun/verb		中級		3
2631	Bible	聖經	noun		中級		
2632	bid	出價、投標、努力爭取	noun/verb		中級		5
2633	billion	十億	noun		中級		2
2634	bin	垃圾箱、容器、箱子	noun		中級		4
2635	bind	綑綁、包紮	verb		中級		3
2636	bingo	賓果遊戲	noun		中級		
2637	biography	自傳	noun		中級		4
2638	birth	出生、起源	noun		中級		2
2639	biscuit	餅乾、小麵包	noun		中級		2
2640	bleed	流血	verb		中級		3
2641	blend	混合、使交融；混合物	verb/noun		中級		4
2642	bless	為…祝福	verb		中級		3
2643	blessing	祝福、祝頌；幸事、好事	noun		中級		4
2644	blink	眨眼睛	verb/noun		中級		4
2645	blonde	金色頭髮的；金髮女郎	adj./noun	= blond	中級		6
2646	bloody	流血的、血腥的	adj.		中級		3
2647	bloom	花；開花、綻放	noun/verb		中級		4
2648	blossom	花朵；開花	noun/verb		中級		4
2649	blush	臉紅	verb/noun		中級		5
2650	boast	吹噓、自誇	verb/noun		中級		4
2651	bold	大膽的、勇敢無畏的；醒目的、粗體的	adj.		中級		3
2652	bond	聯繫、關係；結合、建立關係	noun/verb		中級	L6	4
2653	bony	骨的、骨瘦如柴的	adj.		中級		
2654	booking	預約、預訂	noun		中級		
2655	booklet	小冊子	noun		中級		6
2656	bookshelf	書架	noun		中級		
2657	boot	靴子；猛踢、猛踹	noun		中級		3
2658	boot	猛踹、猛踢；(使電腦)啟動	verb		中級		3
2659	border	國境、邊界；(國家或地區)與...接壤、和...毗鄰	noun/verb		中級		2
2660	bore	使厭煩；煩人的人或事	verb/noun		中級		3
2661	bounce	(使)彈起、(使)反彈；蹦蹦跳跳	verb/noun		中級		4
2662	bow	弓；(弦樂器的)琴弓；蝴蝶結	noun	船首 (P)	中級		1
2663	boycott	抵制、拒絕購買或使用	verb/noun		中級		6
2664	boyfriend	男朋友	noun		中級		
2665	bra	胸罩	noun	= brassiere	中級		6
2666	bracelet	手環、手鐲	noun		中級		4
2667	brake	煞車	noun/verb		中級		3
2668	brand	品牌、商標；烙印	noun		中級		2
2669	brand	打烙印於；譴責、加汙名於	verb		中級		2
2670	brand-new	全新的、嶄新的	adj.		中級		
2671	brass	銅管樂器；銅管樂器的	noun/adj.		中級		3
2672	brass	黃銅、黃銅製品；黃銅的、黃銅製的	noun/adj.		中級		3
2673	bravery	勇敢、英勇行為	noun		中級		3
2674	breast	胸部、乳房；挺胸從...中擠過	noun/verb		中級		3
2675	breath	呼氣、一次吸入的空氣	noun		中級		3
2676	breathe	呼吸	verb		中級		3
2677	breed	品種；交配繁殖、飼養	noun/verb		中級		4
2678	breeze	和風、微風；飄然而行、輕盈自信地走	noun/verb		中級		3
2679	bribe	賄賂	noun/verb		中級		6
2680	bride	新娘	noun		中級		3
2681	bridegroom	新郎	noun	= groom	中級		4
2682	briefcase	公事包	noun		中級		5
2683	brilliant	絕妙的、聰穎的	adj.		中級		2
2684	broke	沒錢、破產	adj.		中級		4
2685	brook	小溪、小河	noun		中級		6
2686	broom	掃帚	noun		中級		4
2687	brownie	布朗尼、巧克力方塊蛋糕	noun		中級		
2688	browse	瀏覽	verb/noun		中級		5
2689	brutal	殘暴的	adj.		中級		4
2690	bubble	氣泡、泡沫；冒泡	noun/verb		中級		3
2691	bud	花苞；發芽	noun/verb		中級		3
2692	budget	預算；編列預算	noun/verb		中級		3
2693	buffalo	水牛	noun		中級		3
2694	bull	公牛、雄象、雄鯨	noun		中級		3
2695	bullet	子彈	noun		中級		3
2696	bulletin	佈告、新聞快報、(機構的)簡報	noun		中級		4
2697	bump	碰到、撞到；碰撞聲、撞擊聲	verb/noun		中級		3
2698	bunch	串、束、大量	noun		中級		3
2699	burden	負荷、重擔；使擔負	noun/verb		中級		2
2700	bureau	辦公處、(政府部門的)局	noun		中級		5
2701	burglar	竊賊	noun		中級		4
2702	bury	埋葬、掩埋	verb		中級		3
2703	bush	灌木	noun		中級		3
2704	butcher	肉商、肉舖；劊子手	noun		中級		5
2705	butcher	屠宰、宰殺；殺戮、屠殺	verb		中級		5
2706	buzz	發出嗡嗡聲；嗡嗡聲	verb/noun		中級		3
2707	cabin	小木屋；座艙	noun		中級		3
2708	calculate	計算	verb		中級		4
2709	calculator	計算機	noun		中級		6
2710	camel	駱駝	noun		中級		2
2711	campaign	(尤指政治、商業或軍事的)專門活動、運動；發起運動	noun/verb		中級		4
2712	canal	運河	noun		中級		5
2713	candidate	候選人、申請人、應試者	noun		中級		4
2714	cane	(某些植物的)莖；手杖、拐杖	noun		中級		4
2715	canoe	獨木舟；(划、乘)獨木舟	noun/verb		中級		4
2716	canvas	帆布	noun		中級		5
2717	canyon	峽谷	noun		中級		3
2718	capable	有能力的	adj.		中級	L6	3
2719	capacity	容量；生產能力；(尤指人或組織的)辦事能力	noun		中級	L5	4
2720	cape	岬、海角；披風	noun		中級		6
2721	capital	首要的；大寫字母的	adj.		中級		2
2722	capital	資金；首都；大寫字母	noun		中級		2
2723	capitalism	資本主義	noun		中級		
2724	capitalist	資本主義者、資本家；資本主義的	noun/adj.		中級		4
2725	caption	說明文字；在圖片加說明文字	noun/verb		中級		6
2726	capture	(用文字或圖像)描繪；拍攝；引起(關注、興趣)	verb		中級		3
2727	capture	俘虜、捕獲	verb/noun		中級		3
2728	carbon	碳	noun		中級		5
2729	cargo	(船或飛機裝載的)貨物	noun		中級		4
2730	carpenter	木工	noun		中級		3
2731	carriage	四輪馬車；(火車的)車廂；貨運、運費	noun	車廂 = coach (British English), car (American English)	中級		3
2732	cart	手推車、馬車；運送、搬運	noun/verb		中級		3
2733	carve	雕刻	verb		中級		4
2734	cashier	收銀員、出納員	noun		中級		6
2735	cast	演員陣容；分配角色、選派角色	noun/verb		中級		3
2736	cast	投票	verb		中級		3
2737	cast	投、拋、擲	verb/noun		中級		3
2738	cast	鑄造；鑄造物、鑄模	verb/noun		中級		3
2739	casual	(衣服)休閒的；不在意的、漫不經心的	adj.		中級		3
2740	casualty	傷亡人員	noun		中級		6
2741	catalog	目錄；編目錄	noun/verb	= catalogue (British English)	中級		
2742	caterpillar	毛毛蟲	noun		中級		6
2743	cattle	牛	noun		中級		3
2744	cave	洞穴；挖洞穴、使塌落	noun/verb		中級		3
2745	cease	停止；結束	verb/noun		中級	L9	4
2746	celebration	慶祝、慶典、慶祝活動	noun		中級		4
2747	cement	水泥、黏接劑；塗上水泥、黏合	noun/verb		中級		6
2748	ceremony	典禮	noun		中級		5
2749	certificate	證書、證明、文憑；證明、發給結業證書	noun/verb		中級		5
2750	chain	一系列、一連串	noun		中級		2
2751	chain	鍊條、鎖鏈、束縛；用鏈條鎖、拴住	noun/verb		中級		2
2752	challenge	挑戰	noun/verb		中級	L5	2
2753	chamber	(有特定用途的)房間、會議室、議院	noun		中級		4
2754	champion	冠軍、獲勝者	noun		中級		3
2755	champion	支持、聲援、捍衛	verb		中級		3
2756	championship	錦標賽、冠軍地位	noun		中級		4
2757	changeable	易變的、善變的	adj.		中級		
2758	characteristic	特徵、特色；獨特的、典型的	noun/adj.		中級		4
2759	charity	慈善事業、慈善機構、仁慈	noun		中級		4
2760	charm	魅力、吸引力；護身符、符咒	noun		中級		3
2761	charm	迷住、吸引	verb		中級		3
2762	check-in	辦理登機手續、入住登記	noun		中級		
2763	checkout	付款處、收銀台、退房結帳	noun		中級		
2764	cheek	臉頰	noun		中級		3
2765	cheerful	快樂的	adj.		中級		3
2766	chemist	化學家	noun		中級		6
2767	chemistry	化學、化學特性	noun		中級		4
2768	cherish	珍惜	verb		中級		4
2769	cherry	櫻桃、櫻桃樹；櫻桃紅的、鮮紅色的	noun/adj.		中級		3
2770	chest	胸部、胸腔	noun		中級		3
2771	chew	咀嚼	verb/noun		中級		4
2772	chick	小雞、幼鳥	noun		中級		
2773	childbirth	分娩、生孩子	noun		中級		
2774	chill	寒意、寒冷；寒冷的、冷颼颼的；使變冷、使冷卻	noun/adj./verb		中級		3
2775	chilly	冷颼颼的	adj.		中級		3
2776	chimney	煙囪	noun		中級		3
2777	china	瓷、瓷器	noun		中級		2
2778	chip	(使)掉碎片、打破	verb		中級		3
2779	choke	(使)窒息、(使)哽噎、堵塞；窒息、哽噎、嗆住的聲音	verb/noun		中級		4
2780	chop	(豬、羊)排骨、帶骨的肉塊	noun		中級		3
2781	chop	剁、切、砍	verb		中級		3
2782	chore	日常事務、乏味的例行工作	noun		中級		5
2783	chorus	副歌、合唱曲、合唱團、伴唱	noun		中級		4
2784	Christian	基督教的、基督徒的；基督徒	adj./noun		中級		
2785	cigar	雪茄	noun		中級		6
2786	cigarette	香菸	noun		中級		3
2787	cinema	電影院	noun		中級		3
2788	circular	圓的、環形的、循環的	adj.		中級		4
2789	circular	(大量送發的)通報、傳單	noun		中級		4
2790	circulate	循環、環行；傳播、傳閱、散佈	verb		中級		4
2791	circulation	血液循環、消息傳播、貨幣流通	noun		中級		4
2792	circumstance	條件、狀況、環境	noun		中級	L3	4
2793	circus	馬戲團、馬戲表演	noun		中級		3
2794	civil	平民的、國家的、民事的	adj.		中級	L4	3
2795	civilian	平民的；平民	adj./noun		中級		4
2796	civilization	文明、文明社會	noun		中級		4
2797	civilize	使文明、教化	verb		中級		6
2798	clarify	闡明、澄清	verb		中級	L8	4
2799	clash	衝突、打鬥、爭論	noun/verb		中級		4
2800	classification	分類、類別、分類法	noun		中級		4
2801	classify	分類、區分	verb		中級		4
2802	claw	爪、螯；用爪或指甲抓	noun/verb		中級		4
2803	clay	黏土	noun		中級		3
2804	cleaner	清潔工、吸塵器、清潔劑	noun		中級		3
2805	client	客戶、委託人	noun		中級		3
2806	cliff	懸崖、峭壁	noun		中級		4
2807	climax	頂點、高潮、最精采的部分；達到頂點、達到高潮	noun/verb		中級		6
2808	climber	攀登者、登山者	noun		中級		
2809	clinic	診所、醫院門診、門診時間	noun		中級		3
2810	clip	修剪；夾子、迴紋針；(電影或電視節目的)剪輯、片段	noun		中級		3
2811	clip	修剪；(用夾子)夾住	verb		中級		3
2812	cloth	布、布料、抹布	noun		中級		2
2813	clothe	給...穿衣、為...提供衣服	verb		中級		3
2814	clothing	衣服、服裝	noun		中級		2
2815	cloud	雲、雲狀物、(網路)雲端	noun		中級		1
2816	cloud	(雲、煙等)遮蔽、使模糊	verb		中級		1
2817	clown	小丑；扮小丑、扮傻	noun/verb		中級		3
2818	clue	線索	noun		中級		3
2819	clumsy	笨拙的、不靈活的、笨手笨腳的	adj.		中級		4
2820	coal	煤	noun		中級		2
2821	coarse	粗糙的、不光滑的；粗俗的、粗魯無禮的	adj.		中級		4
2822	cock	公雞、雄鳥	noun		中級		3
2823	cocktail	雞尾酒	noun		中級		3
2824	cocoa	可可粉、熱可可	noun		中級		2
2825	coconut	椰子	noun		中級		3
2826	code	密碼、代碼、編碼；法規、行為準則、規範	noun		中級	L4	4
2827	code	把...譯成密碼、編碼	verb		中級	L4	4
2828	coincidence	巧合、同時發生	noun		中級		5
2829	collapse	倒塌、崩潰、失敗、昏倒	verb/noun		中級	L10	4
2830	collar	衣領、項圈	noun		中級		3
2831	colleague	同事	noun		中級	L10	4
2832	colony	殖民地、群體、群落	noun		中級		3
2833	colored	彩色的、有...色彩的	adj.		中級		
2834	column	(書報雜誌上的)欄、專欄；石柱、紀念柱；(人或車輛的)縱隊、長列	noun		中級		3
2835	combination	組合、結合、混合	noun		中級		4
2836	combine	結合、混合	verb		中級		2
2837	comedian	喜劇演員	noun		中級		5
2838	comedy	喜劇	noun		中級		4
2839	comfort	舒服；安慰、慰藉、令人感到安慰的人事物；舒適的設施或條件	noun		中級		3
2840	comfort	安慰、撫慰	verb		中級		3
2841	coming	即將到來的、下一個的；到來、來臨	adj./noun		中級		
2842	commander	指揮官	noun		中級		4
2843	commerce	商業、貿易	noun		中級		4
2844	commercial	商業的、商業化的、以營利為目的的；商業廣告	adj./noun		中級		2
2845	commission	佣金、手續費	noun		中級	L2	5
2846	commission	委任、委員會；委託	noun/verb		中級	L2	5
2847	commit	犯(罪、錯)；承諾、致力於、投入(時間或金錢)	verb		中級	L4	4
2848	commitment	承諾、保證、奉獻	noun		中級	L4	5
2849	committee	委員會	noun		中級		3
2850	communicate	交流、溝通	verb		中級	L4	3
2851	communication	交流、溝通	noun		中級		4
2852	communist	共產主義的、共產黨的；共產主義者、共產黨員	adj./noun		中級		5
2853	community	社區、團體	noun		中級	L2	4
2854	companion	同伴、陪伴；陪伴	noun/verb		中級		4
2855	comparative	相對的、比較的；(形容詞或副詞的)比較級	adj./noun		中級		6
2856	comparison	比較、對比	noun		中級		3
2857	compete	競爭、參加比賽	verb		中級		3
2858	competition	競賽、競爭	noun		中級		4
2859	competitive	競爭的、(價格、服務等)有競爭力的	adj.		中級		4
2860	competitor	競爭者、參賽者	noun		中級		4
2861	complaint	埋怨、投訴	noun		中級		3
2862	complex	複雜的、難懂的；複合物、建築群、綜合大樓	adj./noun		中級	L2	2
2863	complicate	使複雜化、使費解、使(疾病)惡化	verb		中級		4
2864	compliment	稱讚、道賀；讚美、稱讚	noun/verb		中級		5
2865	compose	組成、構成；作曲、撰寫(信函、講稿、詩歌等)	verb		中級		4
2866	composer	作曲家	noun		中級		4
2867	composition	作文、作曲、作品；成分、結構	noun		中級		4
2868	compound	化合物、複合物、複合詞；複合的；使混合	noun/adj./verb		中級	L5	5
2869	compound	使惡化、使加劇	verb		中級	L5	5
2870	comprehension	理解力、理解力測試	noun		中級		5
2871	compute	計算	verb		中級	L2	6
2872	conceal	隱藏、掩飾	verb		中級		5
2873	concentrate	專心、專注、集中(注意力)	verb		中級	L4	4
2874	concentration	專注、重視、集中	noun		中級		4
2875	concept	概念	noun		中級	L1	4
2876	concerning	關於	prep.		中級		4
2877	concert	音樂會、演唱會	noun		中級		3
2878	conclude	作出結論、斷定、結束	verb		中級	L2	2
2879	conclusion	結論、結尾	noun		中級		3
2880	concrete	具體的、有形的	adj.		中級		4
2881	concrete	混凝土；用混凝土覆蓋	noun/verb		中級		4
2882	condition	狀況、狀態；條件、環境；條款	noun		中級		2
2883	condition	使適應、使習慣於；為...的條件；使健康、養護(頭髮、皮膚等)	verb		中級		2
2884	conduct	行為、舉止	noun		中級	L2	5
2885	conduct	執行、引導、指揮(合唱團或樂隊)；表現、舉止	verb		中級	L2	5
2886	conductor	(合唱團或樂隊的)指揮、列車長	noun		中級		4
2887	cone	圓錐體、冰淇淋筒	noun		中級		3
2888	conference	會議、研討會	noun		中級	L4	4
2889	confess	承認(錯誤或罪行)、坦白	verb		中級		4
2890	confidence	信心、自信	noun		中級		4
2891	confine	限制、監禁	verb		中級	L9	5
2892	confront	面臨(困境)、克服、對抗	verb		中級		5
2893	confrontation	對抗、衝突	noun		中級		5
2894	confusion	困惑、混淆、混亂局面	noun		中級		4
2895	congratulate	祝賀、道賀	verb		中級		4
2896	congress	代表大會、國會、議會	noun		中級		4
2897	conjunction	(語法)連接詞；結合、同時發生、與...一起	noun		中級		
2898	connect	連接、和...有關聯、與(人)建立良好關係	verb		中級		3
2899	connection	聯繫、關聯、連接	noun		中級		2
2900	conquer	征服、戰勝	verb		中級		4
2901	conscience	良心	noun		中級		4
2902	conscious	有知覺的、意識到的	adj.		中級		3
2903	consequence	結果、後果	noun		中級	L2	4
2904	consequent	隨之發生的	adj.		中級	L2	4
2905	conservative	保守的；保守者	adj./noun		中級		4
2906	considerable	相當大的、相當多的、可觀的	adj.		中級	L3	3
2907	considerate	體貼的	adj.		中級		5
2908	consideration	考慮、需考慮之事、體貼	noun		中級		2
2909	consist	在於、由…組成	verb		中級	L1	4
2910	consistent	持續的、始終如一的；一致的、吻合的	adj.		中級		4
2911	consonant	子音	noun		中級		6
2912	constant	連續不斷的、固定的	adj.		中級	L3	3
2913	constitute	組成、構成；被視為；(合法或正式地)設立、成立	verb		中級	L1	4
2914	constitution	結構、構造；憲法、章程；體質、體格	noun		中級		4
2915	construct	建造、組成；概念、構想	verb/noun		中級	L2	4
2916	construction	建造、結構、建築物	noun		中級		4
2917	constructive	建設性的、有助益的	adj.		中級		4
2918	consult	諮詢、商議	verb		中級	L5	4
2919	consultant	顧問	noun		中級		4
2920	consume	消耗、花費；(大量地)吃、喝	verb		中級	L2	4
2921	consumer	消費者、用戶	noun		中級		4
2922	container	容器	noun		中級		4
2923	contemporary	當代的、同時期的；同時代的人、同輩	adj./noun		中級	L8	5
2924	content	滿意的、知足的；滿足於	adj./verb		中級		4
2925	content	內容、目錄	noun	名詞常使用複數形態	中級		4
2926	contest	比賽、競爭；競爭、爭取、爭辯	noun/verb		中級		4
2927	context	語境、上下文、(事情發生的)背景	noun		中級	L1	4
2928	continent	洲、大陸	noun		中級		3
2929	continental	洲的、大陸的	adj.		中級		5
2930	continual	頻繁的、連續的	adj.		中級		4
2931	continuous	不斷的、連續的	adj.		中級		4
2932	contrary	相反的、完全不同的；反面、相反事物	adj./noun		中級	L7	4
2933	contrast	差異、對比；對比、顯出明顯差異	noun/verb		中級	L4	4
2934	contribute	貢獻、捐款；投稿、撰稿	verb		中級	L3	4
2935	contribution	貢獻、捐款、捐助；投稿	noun		中級		4
2936	convenience	便利性、便利設施	noun		中級		4
2937	convention	傳統、習俗、常規；大會、會議；公約、協定	noun		中級		4
2938	conventional	遵循常規的、傳統的	adj.		中級		4
2939	converse	交談	verb		中級	L9	4
2940	convey	表達、傳送	verb		中級		4
2941	convince	使相信、說服	verb		中級	L10	4
2942	cooker	爐具	noun		中級		3
2943	cooperate	合作、配合	verb		中級	L6	4
2944	cooperation	合作、配合	noun		中級		4
2945	cooperative	合作的、配合的；合作企業	adj./noun		中級		4
2946	cope	處理、應付	verb		中級		4
2947	copper	銅、紫銅色；銅製的、紫銅色的	noun/adj.		中級		4
2948	cord	線、繩	noun		中級		4
2949	corporation	(大)公司	noun	= Corp.	中級		5
2950	correspond	一致、符合；通信	verb		中級	L3	4
2951	correspondent	記者、通信者	noun		中級		5
2952	corridor	走廊、通道	noun		中級		5
2953	costly	昂貴的、代價高的	adj.		中級		3
2954	costume	戲服	noun		中級		4
2955	cottage	小屋	noun		中級		4
2956	council	委員會、地方議會	noun		中級		4
2957	counter	櫃檯、計數器	noun		中級		4
2958	counter	反駁	verb		中級		4
2959	courageous	勇敢的	adj.		中級		4
2960	courteous	有禮貌的	adj.		中級		5
2961	courtesy	禮貌	noun		中級		4
2962	coward	膽小的；懦夫	adj./noun		中級		4
2963	cowboy	牛仔	noun		中級		2
2964	crack	裂縫；斷裂	noun/verb		中級		4
2965	cradle	搖籃、發源地	noun		中級		3
2966	cradle	輕輕地抱著	verb		中級		3
2967	craft	工藝、技術；船、艇、航空飛行器	noun		中級		4
2968	cram	塞滿、擠滿、(考試前)死記硬背	verb		中級		6
2969	crane	起重機；鶴	noun		中級		3
2970	crane	探出(頭)、伸長(脖子)	verb		中級		3
2971	crash	撞車事故、失事；碰撞聲；暴跌、倒閉；(電腦或系統)當機	noun		中級		3
2972	crash	碰撞、墜毀；破產、崩盤；(電腦或系統)當機	verb		中級		3
2973	crawl	爬行、緩慢行進	verb/noun		中級		3
2974	creation	創造、創作	noun		中級		4
2975	creative	有創意的	adj.		中級		3
2976	creator	創造者、發明者	noun		中級		3
2977	creature	生物	noun		中級		3
2978	credit	讚許；(經濟上的)信用、賒帳、信用貸款；學分	noun		中級	L2	3
2979	credit	把錢存進帳戶；歸功於	verb		中級	L2	3
2980	creep	躡手躡腳、爬行	verb/noun		中級		4
2981	crew	全體工作人員	noun		中級		3
2982	cricket	蟋蟀；板球	noun		中級		3
2983	criminal	犯罪的；罪犯	adj./noun		中級		3
2984	cripple	[冒犯]殘障人士、瘸子、跛子	noun		中級		5
2985	cripple	使跛腳、使受傷致殘；嚴重損害	verb		中級		5
2986	crisp	易碎的；酥脆的；涼爽的	adj.		中級		
2987	crispy	酥脆的	adj.		中級		3
2988	critic	評論家	noun		中級		4
2989	critical	批評的；至關重要的	adj.		中級		4
2990	criticism	批評、評論	noun		中級		4
2991	criticize	批評、評論	verb		中級		4
2992	crop	農作物	noun		中級		3
2993	crop	剪裁、剪短	verb		中級		3
2994	crossroad	交叉路口、十字路口	noun		中級		
2995	crow	烏鴉	noun		中級		2
2996	crow	啼叫	verb		中級		2
2997	crown	皇冠；加冕	noun/verb		中級		3
2998	cruelty	殘酷	noun		中級		4
2999	crush	迷戀	noun		中級		4
3000	crush	壓扁、壓碎	verb		中級		4
3001	crutch	柺杖	noun		中級		6
3002	crystal	水晶、結晶；水晶的、清澈的	noun/adj.		中級		5
3003	cub	(熊、獅、虎、狼等)幼獸	noun		中級		6
3004	cucumber	黃瓜	noun		中級		6
3005	cue	(給)暗示、提示	noun/verb		中級		4
3006	cultivate	耕作、培養	verb		中級		6
3007	cultural	文化的	adj.		中級	L2	2
3008	cunning	狡猾的	adj.		中級		4
3009	cupboard	櫥櫃	noun		中級		3
3010	curiosity	好奇心	noun		中級		4
3011	curl	使捲曲；捲髮、捲曲物	verb/noun		中級		4
3012	curse	詛咒、咒罵	noun/verb		中級		4
3013	cushion	軟墊	noun		中級		4
3014	cushion	緩衝	verb		中級		4
3015	customs	海關	noun		中級		5
3016	cycle	循環	noun		中級	L4	2
3017	cycle	騎自行車	verb		中級	L4	2
3018	cyclist	騎自行車者	noun		中級		
3019	dairy	乳製品	noun		中級		3
3020	dam	水壩；築壩	noun/verb		中級		3
3021	damn	咒罵(該死)；批評；絲毫	interj./verb/noun		中級		
3022	damp	潮濕的；濕氣；弄濕	adj./noun/verb		中級		4
3023	dancer	舞者	noun		中級		2
3024	dare	膽敢	verb/verb(aux.)		中級		3
3025	darling	親愛的	noun/adj.		中級		3
3026	dash	飛奔；短跑比賽；破折號	noun		中級		3
3027	dash	飛奔；猛擊	verb		中級		3
3028	daylight	日光	noun		中級		
3029	deadline	截止期限	noun		中級		4
3030	decade	十年	noun		中級	L7	3
3031	decay	腐爛、衰敗	verb/noun		中級		5
3032	deceive	欺騙	verb		中級		5
3033	deck	甲板、(船或巴士的)層	noun		中級		3
3034	declaration	宣言、聲明、申報	noun		中級		5
3035	declare	宣言、聲明、申報	verb		中級		4
3036	decline	減少、衰退；婉拒	verb		中級	L5	5
3037	decoration	裝飾品	noun		中級		4
3038	deed	行為、舉止	noun		中級		3
3039	defeat	失敗；擊敗	noun/verb		中級		4
3040	defend	防守、保衛、辯護	verb		中級		4
3041	defense	防守、保衛、辯護	noun	= defence (British English)	中級		4
